ProductID	ProductName	Subscription
1	Coffee - Ristretto Coffee Capsule	false
2	Langers - Mango Nectar	false
3	Wine - Chateau Timberlay	false
4	Steam Pan - Half Size Deep	false
5	Steam Pan Full Lid	false
6	Chicken - Thigh, Bone In	false
7	Juice - Ocean Spray Cranberry	true
8	Cranberries - Fresh	true
9	Veal - Round, Eye Of	false
10	Chinese Foods - Pepper Beef	false
11	Icecream - Dstk Super Cone	false
12	Corn - On The Cob	true
13	Wine - White, Ej Gallo	false
14	Chocolate - Unsweetened	true
15	Muffin - Mix - Mango Sour Cherry	true
16	Bagel - 12 Grain Preslice	true
17	Mustard - Seed	true
18	Artichokes - Knobless, White	true
19	Jack Daniels	true
20	Amarula Cream	false
